id,displayName,visualId,frameIndex,x,y,width,height
#稳定标识,中文名称,视觉标识,帧索引,裁切X,裁切Y,帧宽,帧高
frame-visual-pss-room-elevator-83-0,电梯静态帧,visual-pss-room-elevator-83,0,0,40,25,25
frame-visual-room-stairs-placeholder-0,楼梯占位静态帧,visual-room-stairs-placeholder,0,0,40,25,25
frame-visual-pss-room-reactor-808-0,反应堆帧1,visual-pss-room-reactor-808,0,0,0,100,50
frame-visual-pss-room-reactor-808-1,反应堆帧2,visual-pss-room-reactor-808,1,101,0,100,50
frame-visual-pss-room-reactor-808-2,反应堆帧3,visual-pss-room-reactor-808,2,0,51,100,50
frame-visual-pss-room-reactor-808-3,反应堆帧4,visual-pss-room-reactor-808,3,101,51,100,50
frame-visual-pss-room-reactor-808-4,反应堆帧5,visual-pss-room-reactor-808,4,0,102,100,50
frame-visual-pss-room-laser-8285-0,激光帧1,visual-pss-room-laser-8285,0,0,0,50,50
frame-visual-pss-room-laser-8285-1,激光帧2,visual-pss-room-laser-8285,1,50,0,50,50
frame-visual-pss-room-laser-8285-2,激光帧3,visual-pss-room-laser-8285,2,100,0,50,50
frame-visual-pss-room-laser-8285-3,激光帧4,visual-pss-room-laser-8285,3,150,0,50,50
frame-visual-pss-room-laser-8285-4,激光帧5,visual-pss-room-laser-8285,4,200,0,50,50
frame-visual-pss-room-laser-8285-5,激光帧6,visual-pss-room-laser-8285,5,250,0,50,50
frame-visual-pss-room-laser-8285-6,激光帧7,visual-pss-room-laser-8285,6,300,0,50,50
frame-visual-pss-room-shield-8041-0,护盾帧1,visual-pss-room-shield-8041,0,0,0,50,50
frame-visual-pss-room-shield-8041-1,护盾帧2,visual-pss-room-shield-8041,1,50,0,50,50
frame-visual-pss-room-shield-8041-2,护盾帧3,visual-pss-room-shield-8041,2,100,0,50,50
frame-visual-pss-room-shield-8041-3,护盾帧4,visual-pss-room-shield-8041,3,0,50,50,50
frame-visual-pss-room-shield-8041-4,护盾帧5,visual-pss-room-shield-8041,4,50,50,50,50
frame-visual-pss-room-shield-8041-5,护盾帧6,visual-pss-room-shield-8041,5,100,50,50,50
frame-visual-pss-room-medbay-1107-0,医疗静态帧,visual-pss-room-medbay-1107,0,0,0,50,50
frame-appearance-pss-engineer-bob-8-0,工程师帧1,appearance-pss-engineer-bob-8,0,0,0,32,32
frame-appearance-pss-engineer-bob-8-1,工程师帧2,appearance-pss-engineer-bob-8,1,32,0,32,32
frame-appearance-pss-gunner-bobby-240-0,枪手帧1,appearance-pss-gunner-bobby-240,0,0,0,32,32
frame-appearance-pss-gunner-bobby-240-1,枪手帧2,appearance-pss-gunner-bobby-240,1,32,0,32,32
frame-appearance-pss-medic-doctor-dong-153-0,医务帧1,appearance-pss-medic-doctor-dong-153,0,0,0,32,32
frame-appearance-pss-medic-doctor-dong-153-1,医务帧2,appearance-pss-medic-doctor-dong-153,1,32,0,32,32
frame-appearance-pss-soldier-government-45-0,士兵帧1,appearance-pss-soldier-government-45,0,0,0,32,32
frame-appearance-pss-soldier-government-45-1,士兵帧2,appearance-pss-soldier-government-45,1,32,0,32,32
frame-visual-hull-starter-0,初始护卫舰船体帧1,visual-hull-starter,0,0,0,500,250
frame-visual-hull-raider-0,掠袭舰船体帧1,visual-hull-raider,0,0,0,400,250
frame-visual-floor-basic-0,基础地板静态帧,visual-floor-basic,0,0,40,25,25
